[2026-01-25 06:03:15.455] [no-session] [INFO] [stage=main] ============================================================ | main:run:115
[2026-01-25 06:03:15.455] [no-session] [INFO] [stage=main] 🚀 ContainerLab Builder | main:run:116
[2026-01-25 06:03:15.456] [no-session] [INFO] [stage=main] ============================================================ | main:run:117
[2026-01-25 06:03:15.456] [no-session] [INFO] [stage=main] 📁 Session ID: 20260125-060315-630ea7ef | main:run:118
[2026-01-25 06:03:15.456] [no-session] [INFO] [stage=main] 📂 Output directory: /home/wolflab/Desktop/containerlab_builder/clab_out/20260125-060315-630ea7ef | main:run:119
[2026-01-25 06:03:15.456] [no-session] [INFO] [stage=main] ⚙️  Config: model=deepseek/deepseek-v3.2, max_retries=3 | main:run:120
[2026-01-25 06:03:15.485] [no-session] [DEBUG] [stage=main] Starting new HTTPS connection (1): api.smith.langchain.com:443 | urllib3.connectionpool:_new_conn:1049
[2026-01-25 06:03:15.954] [no-session] [DEBUG] [stage=generate] https://api.smith.langchain.com:443 "GET /info HTTP/1.1" 200 922 | urllib3.connectionpool:_make_request:544
[2026-01-25 06:03:15.956] [no-session] [DEBUG] [stage=generate] Tracing control thread func compress parallel called | langsmith.client:tracing_control_thread_func_compress_parallel:720
[2026-01-25 06:03:16.007] [no-session] [DEBUG] [stage=generate] Sending multipart request to https://api.smith.langchain.com with context: trace=019bf4d2-8316-7261-899e-c551aaf6712e,id=019bf4d2-8316-7261-899e-c551aaf6712e; trace=019bf4d2-8316-7261-899e-c551aaf6712e,id=019bf4d2-832b-7652-9021-50f8f61c7668 | langsmith.client:_send_multipart_req:2334
[2026-01-25 06:03:16.248] [no-session] [DEBUG] [stage=generate] https://api.smith.langchain.com:443 "POST /runs/multipart HTTP/1.1" 202 34 | urllib3.connectionpool:_make_request:544
[2026-01-25 06:03:16.591] [20260125-060315-630ea7ef] [INFO] [stage=generate] ▶ Generating network topology -  | node.generate:log_step:287
