[2026-01-25 06:20:05.477] [no-session] [INFO] [stage=main] ============================================================ | main:run:101
[2026-01-25 06:20:05.478] [no-session] [INFO] [stage=main] 🚀 ContainerLab Builder | main:run:102
[2026-01-25 06:20:05.478] [no-session] [INFO] [stage=main] ============================================================ | main:run:103
[2026-01-25 06:20:05.478] [no-session] [INFO] [stage=main] 📁 Session ID: 20260125-062005-f858d69b | main:run:104
[2026-01-25 06:20:05.478] [no-session] [INFO] [stage=main] 📂 Output directory: /home/wolflab/Desktop/containerlab_builder/clab_out/20260125-062005-f858d69b | main:run:105
[2026-01-25 06:20:05.478] [no-session] [INFO] [stage=main] ⚙️  Config: model=deepseek/deepseek-v3.2, max_retries=3 | main:run:106
[2026-01-25 06:20:05.499] [no-session] [DEBUG] [stage=main] Starting new HTTPS connection (1): api.smith.langchain.com:443 | urllib3.connectionpool:_new_conn:1049
[2026-01-25 06:20:05.890] [no-session] [DEBUG] [stage=generate] https://api.smith.langchain.com:443 "GET /info HTTP/1.1" 200 922 | urllib3.connectionpool:_make_request:544
[2026-01-25 06:20:05.893] [no-session] [DEBUG] [stage=generate] Tracing control thread func compress parallel called | langsmith.client:tracing_control_thread_func_compress_parallel:720
[2026-01-25 06:20:05.947] [no-session] [DEBUG] [stage=generate] Sending multipart request to https://api.smith.langchain.com with context: trace=019bf4e1-ec7a-7442-989e-1d2009fef19c,id=019bf4e1-ec7a-7442-989e-1d2009fef19c; trace=019bf4e1-ec7a-7442-989e-1d2009fef19c,id=019bf4e1-ec80-7932-a46f-ac4332c68ba2 | langsmith.client:_send_multipart_req:2334
[2026-01-25 06:20:06.142] [20260125-062005-f858d69b] [INFO] [stage=generate] ▶ Generating network topology -  | node.generate:log_step:287
