cve_id,category,version,verified,native_success,environment_ready,status,bundle_present,bundle_compose,bundle_readme,poc_materials_total,poc_materials_missing_count,poc_basename_collisions,hash_ok,hash_bad,service_complete,service_empty,service_protocol,service_port,cap_verified_count,cap_inferred_count,cap_unresolvable_refs,guide_present,guide_ready,guide_integrity_ok,reasons
CVE-2010-2861,coldfusion,3,True,True,True,template_anchor,True,True,True,0,0,0,5,0,True,False,http,8500,1,0,1,True,True,True,
CVE-2010-3863,shiro,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2012-1823,php,3,True,True,True,template_anchor,True,True,True,2,0,0,7,0,True,False,http,80,2,0,2,True,True,True,
CVE-2012-2122,mysql,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2013-4547,nginx,3,True,True,,template_candidate,True,True,True,2,0,0,7,0,True,False,http,80,2,0,2,True,True,True,environment_ready missing (legacy)
CVE-2014-0160,openssl,3,True,True,True,review_required,True,True,True,1,0,0,6,0,True,False,https,443,0,0,0,False,False,False,no verified capability grants; guide not ready
CVE-2014-3120,elasticsearch,3,True,True,,template_candidate,True,True,True,0,0,0,4,0,True,False,http,9200,2,0,2,True,True,True,environment_ready missing (legacy)
CVE-2014-3704,drupal,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2014-6271,bash,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2015-1427,elasticsearch,3,True,True,True,template_anchor,True,True,True,0,0,0,4,0,True,False,http,9200,2,0,2,True,True,True,
CVE-2015-3337,elasticsearch,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2015-5254,activemq,3,True,True,,review_required,True,True,True,0,0,0,7,0,False,True,,,0,0,0,True,True,True,required_service empty; no verified capability grants; environment_ready missing (legacy)
