cve_id,classification,value_score,version,service_role,service_family,source_image,native_success,environment_ready,source_image_local,guide_ready,runtime_ready,required_service,verified_capabilities,reasons
CVE-2010-2861,rebuild_runtime_or_bundle,6,3,web_application,,vulhub/coldfusion:8.0.1,True,True,not_local,True,False,"{""protocol"": ""http"", ""port"": 8500}","[""read_file""]","[""runtime contract not ready""]"
CVE-2010-3863,full_reconstruction,3,2,web_application,,vulhub/shiro:1.0.0,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2012-1823,range_ready,14,3,web_application,,vulhub/php:5.4.1-cgi,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 80}","[""execute_command"", ""read_file""]",[]
CVE-2012-2122,full_reconstruction,3,2,database,,vulhub/mysql:5.5.23,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2013-4547,rebuild_runtime_or_bundle,12,3,web_application,,vulhub/php:5.6-fpm,True,,present,True,False,"{""protocol"": ""http"", ""port"": 80}","[""execute_command"", ""read_file""]","[""runtime contract not ready""]"
CVE-2014-0160,full_reconstruction,3,3,web_application,,vulhub/openssl:1.0.1c-with-nginx,True,True,not_local,False,False,"{""protocol"": ""https"", ""port"": 443}",[],"[""ready guide unavailable""]"
CVE-2014-3120,rebuild_runtime_or_bundle,14,3,middleware,,vulhub/elasticsearch:1.1.1,True,,present,True,True,"{""protocol"": ""http"", ""port"": 9200}","[""execute_command"", ""read_file""]","[""multi-port readiness does not probe exploit entry""]"
CVE-2014-3704,full_reconstruction,1,2,web_application,,vulhub/drupal:7.31,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2014-6271,full_reconstruction,3,2,web_application,,vulhub/bash:4.3.0-with-httpd,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2015-1427,range_ready,14,3,web_application,,vulhub/elasticsearch:1.4.2,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 9200}","[""execute_command"", ""read_file""]",[]
CVE-2015-3337,full_reconstruction,3,2,middleware,,vulhub/elasticsearch:1.4.4,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2015-5254,rebuild_runtime_or_bundle,1,3,middleware,,vulhub/activemq:5.11.1,True,,not_local,True,False,{},[],"[""runtime contract not ready""]"
CVE-2015-5531,range_ready,6,3,web_application,,vulhub/elasticsearch:1.6.0,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 9200}","[""read_file""]",[]
CVE-2015-8562,full_reconstruction,3,2,web_application,,vulhub/joomla:3.4.5,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-1897,full_reconstruction,1,2,web_application,,vulhub/ffmpeg:2.8.4-with-php,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-3088,rebuild_runtime_or_bundle,16,3,web_application,,vulhub/activemq:5.11.1-with-cron,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 8161}","[""execute_command"", ""network_vantage"", ""read_file"", ""write_file""]","[""multi-port readiness does not probe exploit entry""]"
CVE-2016-3714,range_ready,17,3,web_application,,vulhub/imagemagick:6.9.2-10-php,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 8080}","[""execute_command"", ""network_vantage"", ""read_credential"", ""read_file"", ""write_file""]",[]
CVE-2016-4437,full_reconstruction,3,2,framework,,vulhub/shiro:1.2.4,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-4977,full_reconstruction,3,2,web_application,,vulhub/spring-security-oauth2:2.0.8,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-5385,full_reconstruction,3,2,web_application,,vulhub/php:httpoxy,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-5734,full_reconstruction,3,2,web_application,,vulhub/phpmyadmin:4.4.15.6,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2016-9086,full_reconstruction,1,2,web_application,,vulhub/gitlab:8.13.1,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2017-1000028,rebuild_runtime_or_bundle,7,3,web_application,,vulhub/glassfish:4.1,True,True,not_local,True,False,"{""protocol"": ""https"", ""port"": 4848}","[""read_credential"", ""read_file""]","[""runtime contract not ready""]"
CVE-2017-1000353,full_reconstruction,1,2,web_application,,vulhub/jenkins:2.46.1,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
CVE-2017-10271,range_ready,16,3,middleware,,vulhub/weblogic:10.3.6.0-2017,True,,present,True,True,"{""protocol"": ""http"", ""port"": 7001}","[""execute_command"", ""read_file"", ""write_file""]",[]
CVE-2017-11610,range_ready,16,3,web_application,,vulhub/supervisor:3.3.2,True,True,present,True,True,"{""protocol"": ""http"", ""port"": 9001}","[""execute_command"", ""read_file"", ""write_file""]",[]
CVE-2017-12149,full_reconstruction,1,2,web_application,,vulhub/jboss:as-6.1.0,False,,not_local,False,False,{},[],"[""version<3"", ""native verification unavailable"", ""ready guide unavailable""]"
