cve_id,status,planned_path,value_score,service_role,service_family,service_access,verified_capabilities,source_image,source_image_local,reason
CVE-2010-2861,selected,rebuild_runtime_or_bundle,6,web_application,,"{""port"": 8500, ""protocol"": ""http""}","[""read_file""]",vulhub/coldfusion:8.0.1,not_local,selected by value/diversity policy
CVE-2013-4547,selected,rebuild_runtime_or_bundle,12,web_application,,"{""port"": 80, ""protocol"": ""http""}","[""execute_command"", ""read_file""]",vulhub/php:5.6-fpm,present,selected by value/diversity policy
CVE-2014-0160,selected,full_reconstruction,3,web_application,,"{""port"": 443, ""protocol"": ""https""}",[],vulhub/openssl:1.0.1c-with-nginx,not_local,selected by value/diversity policy
CVE-2017-1000028,selected,rebuild_runtime_or_bundle,7,web_application,,"{""port"": 4848, ""protocol"": ""https""}","[""read_credential"", ""read_file""]",vulhub/glassfish:4.1,not_local,selected by value/diversity policy
CVE-2017-12794,selected,full_reconstruction,3,web_application,,{},[],vulhub/django:1.11.4,present,selected by value/diversity policy
CVE-2017-14849,selected,rebuild_runtime_or_bundle,6,web_application,,"{""port"": 3000, ""protocol"": ""http""}","[""read_file""]",vulhub/node:8.5.0,not_local,selected by value/diversity policy
CVE-2018-1273,selected,full_reconstruction,3,web_application,,{},[],vulhub/spring-data-commons:2.0.5,present,selected by value/diversity policy
CVE-2018-18778,selected,rebuild_runtime_or_bundle,6,web_application,,"{""port"": 8080, ""protocol"": ""http""}","[""read_file""]",vulhub/mini_httpd:1.29,not_local,selected by value/diversity policy
CVE-2021-32682,selected,rebuild_runtime_or_bundle,12,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/elfinder:2.1.58,present,selected by value/diversity policy
CVE-2021-40438,selected,full_reconstruction,3,middleware,,{},[],vulhub/tomcat:8.5.19,present,selected by value/diversity policy
CVE-2021-42392,selected,full_reconstruction,3,framework,,{},[],vulhub/spring-with-h2database:2.0.204,not_local,selected by value/diversity policy
CVE-2022-24706,selected,full_reconstruction,3,database,,{},[],vulhub/couchdb:3.2.1,present,selected by value/diversity policy
CVE-2022-41678,selected,rebuild_runtime_or_bundle,12,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/activemq:5.17.3,present,selected by value/diversity policy
CVE-2023-26360,selected,rebuild_runtime_or_bundle,6,web_application,,"{""port"": 8500, ""protocol"": ""http""}","[""read_file""]",vulhub/coldfusion:2018.0.15,not_local,selected by value/diversity policy
CVE-2024-1561,selected,full_reconstruction,3,web_application,,{},[],vulhub/gradio:4.12.0,present,selected by value/diversity policy
CVE-2024-38856,selected,rebuild_runtime_or_bundle,14,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/ofbiz:18.12.14,present,selected by value/diversity policy
CVE-2024-45195,selected,rebuild_runtime_or_bundle,12,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/ofbiz:18.12.15,present,selected by value/diversity policy
CVE-2024-45507,selected,full_reconstruction,1,web_application,,{},[],vulhub/ofbiz:18.12.15,present,selected by value/diversity policy
CVE-2024-9264,selected,rebuild_runtime_or_bundle,14,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/grafana:11.0.0,present,selected by value/diversity policy
CVE-2025-32433,selected,full_reconstruction,1,middleware,,{},[],vulhub/erlang:27.3.2-with-ssh,present,selected by value/diversity policy
CVE-2025-55182,selected,rebuild_runtime_or_bundle,14,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/nextjs:15.5.6,present,selected by value/diversity policy
CVE-2025-68613,selected,rebuild_runtime_or_bundle,14,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/n8n:1.65.0,present,selected by value/diversity policy
CVE-2026-21858,selected,full_reconstruction,3,web_application,,{},[],vulhub/n8n:1.65.0,present,selected by value/diversity policy
CVE-2026-24061,selected,full_reconstruction,3,system_service,,{},[],vulhub/inetutils:2.5,not_local,selected by value/diversity policy
CVE-2026-25887,selected,rebuild_runtime_or_bundle,12,web_application,,{},"[""execute_command"", ""read_file""]",vulhub/chartbrew:4.8.0,present,selected by value/diversity policy
CVE-2010-3863,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2012-1823,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2012-2122,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2014-3120,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2014-3704,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2014-6271,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2015-1427,excluded,,,,,,,,,already range_ready in current audit
CVE-2015-3337,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2015-5254,excluded,,,,,,,,,low marginal capability/access value for bounded runtime rebuild
CVE-2015-5531,excluded,,,,,,,,,already range_ready in current audit
CVE-2015-8562,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-1897,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-3088,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2016-3714,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2016-4437,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-4977,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-5385,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-5734,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2016-9086,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-1000353,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-10271,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2017-11610,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2017-12149,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-12615,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2017-12629-RCE,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-12635,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-12636,excluded,,,,,,,,,low marginal capability/access value for bounded runtime rebuild
CVE-2017-15715,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2017-16082,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-17405,excluded,,,,,,,,,deferred in B1; no new shared profile correction
CVE-2017-17562,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2017-3066,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-4971,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-5223,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-5645,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-6920,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-7494,excluded,,,,,,,,,low marginal capability/access value for bounded runtime rebuild
CVE-2017-7504,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-7525,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-7529,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-8046,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-8386,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-8917,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-9841,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2017-9993,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-1000006,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-1000533,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-1000861,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-10054,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-1058,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-10933,excluded,,,,,,,,,already range_ready in current audit
CVE-2018-12613,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2018-1270,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-1297,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-14574,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-15473,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-15685,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-16509,excluded,,,,,,,,,already range_ready in current audit
CVE-2018-18925,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-19475,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2018-19518,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-2628,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-2894,excluded,,,,,,,,,deferred in B1; no new shared profile correction
CVE-2018-3760,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-7490,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-7600,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-7602,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2018-8715,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-0193,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2019-10758,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-11043,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2019-11581,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-14234,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-15107,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-17558,excluded,,,,,,,,,completed in B1: runtime-ready
CVE-2019-17564,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-20933,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-3396,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-5418,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-6116,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-6339,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-6341,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-7238,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-7609,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-9053,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2019-9193,excluded,,,,,,,,,already range_ready in current audit
CVE-2020-10199,excluded,,,,,,,,,deferred in B1; no new shared profile correction
CVE-2020-10204,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2020-11651,excluded,,,,,,,,,lower marginal value after value/diversity ranking
CVE-2020-11652,excluded,,,,,,,,,lower marginal value after value/diversity ranking
