cve_id,service_role,vuln_category,phase,source,source_bundle_compose,source_bundle_readme,dockerfiles_count,init_files_count,poc_materials_count,runtime_services_count,has_target_service_name,ports_count,has_policy,sanitize_env_count,has_command_or_entrypoint,has_environment,readiness_count,has_container_state_probe,has_tcp_probe,has_flag_spec,flag_primary_path,flag_fallback_count,native_success,orch_success,tier,issues
CVE-2010-2861,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/coldfusion/CVE-2010-2861,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2012-1823,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/php/CVE-2012-1823,True,True,0,2,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2012-2122,database,RCE,initial_access,/home/hanlin/CVELab/vulhub/mysql/CVE-2012-2122,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2013-4547,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/nginx/CVE-2013-4547,True,True,0,3,3,2,True,0,True,8,True,False,1,True,False,True,/flag.txt,4,True,True,B,readiness_weak
CVE-2014-0160,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/openssl/CVE-2014-0160,True,True,0,1,4,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2014-3120,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/elasticsearch/CVE-2014-3120,True,True,0,0,2,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2014-6271,system_service,RCE,initial_access,/home/hanlin/CVELab/vulhub/bash/CVE-2014-6271,True,True,0,2,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2015-1427,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/elasticsearch/CVE-2015-1427,True,True,0,0,2,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2015-3337,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/elasticsearch/CVE-2015-3337,True,True,1,0,2,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2015-5254,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/activemq/CVE-2015-5254,True,True,0,0,5,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2015-5531,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/elasticsearch/CVE-2015-5531,True,True,1,0,6,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2016-1897,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/ffmpeg/CVE-2016-1897,True,True,0,1,3,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2016-3088,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/activemq/CVE-2016-3088,True,True,0,0,4,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2016-3714,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/imagemagick/CVE-2016-3714,True,True,0,1,3,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2016-4977,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/spring/CVE-2016-4977,True,True,0,0,5,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-1000028,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/glassfish/CVE-2017-1000028,True,True,0,0,2,1,True,2,True,8,False,True,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-10271,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/weblogic/CVE-2017-10271,True,True,0,1,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-11610,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/supervisor/CVE-2017-11610,True,True,0,0,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-12615,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/tomcat/CVE-2017-12615,True,True,1,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-12636,database,RCE,initial_access,/home/hanlin/CVELab/vulhub/couchdb/CVE-2017-12636,True,True,0,0,5,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-12794,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/django/CVE-2017-12794,True,True,0,12,0,2,True,1,True,8,False,True,2,True,True,True,/flag.txt,4,True,True,B,
CVE-2017-14849,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/node/CVE-2017-14849,True,True,1,2,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-15715,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/httpd/CVE-2017-15715,True,True,1,0,5,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-17405,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/ruby/CVE-2017-17405,True,True,0,1,4,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-17562,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/goahead/CVE-2017-17562,True,True,0,1,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-3066,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/coldfusion/CVE-2017-3066,True,True,0,0,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-4971,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/spring/CVE-2017-4971,True,True,0,0,6,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-5645,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/log4j/CVE-2017-5645,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-7494,file_service,RCE,initial_access,/home/hanlin/CVELab/vulhub/samba/CVE-2017-7494,True,True,0,1,3,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-8046,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/spring/CVE-2017-8046,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-8386,system_service,RCE,initial_access,/home/hanlin/CVELab/vulhub/git/CVE-2017-8386,True,True,0,0,8,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2017-9841,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/phpunit/CVE-2017-9841,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-1000861,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/jenkins/CVE-2018-1000861,True,True,0,0,4,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-10054,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/h2database/CVE-2018-10054,True,True,0,0,3,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-10933,system_service,RCE,initial_access,/home/hanlin/CVELab/vulhub/libssh/CVE-2018-10933,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-12613,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/phpmyadmin/CVE-2018-12613,True,True,0,1,3,2,True,1,True,8,False,True,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-1270,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/spring/CVE-2018-1270,True,True,0,0,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-1273,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/spring/CVE-2018-1273,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-16509,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/ghostscript/CVE-2018-16509,True,True,0,1,5,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-18778,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/mini_httpd/CVE-2018-18778,True,True,0,0,2,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-19475,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/ghostscript/CVE-2018-19475,True,True,0,1,3,1,True,1,True,8,True,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-19518,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/php/CVE-2018-19518,True,True,0,1,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-2894,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/weblogic/CVE-2018-2894,True,True,0,0,6,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-3760,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/rails/CVE-2018-3760,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2018-7490,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/uwsgi/CVE-2018-7490,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-0193,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/solr/CVE-2019-0193,True,True,0,0,3,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-10758,database,RCE,initial_access,/home/hanlin/CVELab/vulhub/mongo-express/CVE-2019-10758,True,True,0,0,2,2,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-11043,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/php/CVE-2019-11043,True,True,0,2,3,2,True,0,True,8,False,False,1,True,False,True,/flag.txt,4,True,True,B,readiness_weak
CVE-2019-15107,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/webmin/CVE-2019-15107,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-17558,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/solr/CVE-2019-17558,True,True,0,0,3,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-17564,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/dubbo/CVE-2019-17564,True,True,0,0,4,2,True,1,True,8,False,True,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-5418,framework,RCE,initial_access,/home/hanlin/CVELab/vulhub/rails/CVE-2019-5418,True,True,1,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-7238,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/nexus/CVE-2019-7238,True,True,0,0,4,1,True,2,True,8,False,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2019-9193,database,RCE,initial_access,/home/hanlin/CVELab/vulhub/postgres/CVE-2019-9193,True,True,0,0,2,1,True,1,True,8,False,True,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-10199,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/nexus/CVE-2020-10199,True,True,0,1,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-11652,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/saltstack/CVE-2020-11652,True,True,0,0,2,1,True,4,True,8,False,False,5,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-11981,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/airflow/CVE-2020-11981,True,True,0,0,4,7,True,1,True,8,True,True,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-13942,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/unomi/CVE-2020-13942,True,True,0,0,2,2,True,2,True,8,False,True,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-13945,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/apisix/CVE-2020-13945,True,True,0,1,3,2,True,3,True,8,True,False,4,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-14882,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/weblogic/CVE-2020-14882,True,True,0,0,5,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-16846,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/saltstack/CVE-2020-16846,True,True,0,0,2,1,True,4,True,8,False,False,5,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-17519,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/flink/CVE-2020-17519,True,True,0,0,2,1,True,2,True,8,True,False,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2020-35476,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/opentsdb/CVE-2020-35476,True,True,0,0,4,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-22205,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/gitlab/CVE-2021-22205,True,True,0,0,4,3,True,2,True,8,False,True,3,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-25646,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/apache-druid/CVE-2021-25646,True,True,0,0,2,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-26120,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/cmsms/CVE-2021-26120,True,True,0,0,4,2,True,1,True,8,False,True,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-32682,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/elfinder/CVE-2021-32682,True,True,0,0,5,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-41277,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/metabase/CVE-2021-41277,True,True,0,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-42013,web_application,RCE,initial_access,/home/hanlin/CVELab/vulhub/httpd/CVE-2021-42013,True,True,1,0,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
CVE-2021-42342,middleware,RCE,initial_access,/home/hanlin/CVELab/vulhub/goahead/CVE-2021-42342,True,True,0,1,3,1,True,1,True,8,False,False,2,True,True,True,/flag.txt,4,True,True,A,
